drug_name_clean,COUNTY,STATE,COUNTY_CODE,median_cost,num_prices
Adalimumab,Atchison,KS,17020,3571.3054,811
Adalimumab,Atchison,MO,26020,3597.1588,723
Adalimumab,Athens,OH,36040,3497.2695,1280
Adalimumab,Atkinson,GA,11010,3497.2695,1246
Adalimumab,Atlantic,NJ,31000,3497.268,1318
Adalimumab,Atoka,OK,37020,3497.2695,715
Adalimumab,Attala,MS,25030,3497.2695,1088
Adalimumab,Audrain,MO,26030,3564.0382,1024
Adalimumab,Audubon,IA,16040,3497.3989,785
Adalimumab,Auglaize,OH,36050,3497.4004,1816
Adalimumab,Augusta,VA,49070,3597.1501,1248
Adalimumab,Aurora,SD,43010,3497.268,757
Adalimumab,Austin,TX,45070,3497.2695,1234
Adalimumab,Autauga,AL,01000,3497.2695,1408
Adalimumab,Avery,NC,34050,3482.4342,1539
Adalimumab,Avoyelles,LA,19040,3497.268,1136
Adalimumab,Baca,CO,06040,3574.1309,476
Adalimumab,Bacon,GA,11011,3497.2695,1245
Adalimumab,Bailey,TX,45080,3497.2695,894
Adalimumab,Baker,FL,10010,3497.2695,1098
Adalimumab,Baker,GA,11020,3497.2695,1401
Adalimumab,Baker,OR,38000,3486.3061,505
Adalimumab,Baldwin,AL,01010,3497.2695,1407
Adalimumab,Baldwin,GA,11030,3497.2695,1462
Adalimumab,Ballard,KY,18030,3497.2695,1151
Adalimumab,Baltimore,MD,21020,3497.2695,1217
Adalimumab,Baltimore,MD,21020,3497.2695,1217
Adalimumab,Baltimore City,MD,21030,3497.2695,1057
Adalimumab,Bamberg,SC,42040,3497.2695,1324
Adalimumab,Bandera,TX,45090,3497.2695,1523
Adalimumab,Banks,GA,11040,3497.2695,1589
Adalimumab,Banner,NE,28030,3476.9952,582
Adalimumab,Bannock,ID,13020,3497.4004,685
Adalimumab,Baraga,MI,23060,3482.4342,724
Adalimumab,Barber,KS,17030,3547.2591,522
Adalimumab,Barbour,AL,01020,3497.2695,959
Adalimumab,Barbour,WV,51000,3497.2695,1161
Adalimumab,Barceloneta,PR,40090,3520.6773,989
Adalimumab,Barceloneta,NA,40090,3540.87005,160
Adalimumab,Barnes,ND,35010,3497.2695,849
Adalimumab,Barnstable,MA,22000,3476.9937,739
Adalimumab,Barnwell,SC,42050,3497.2695,1278
Adalimumab,Barranquitas,PR,40100,3520.6773,937
Adalimumab,Barranquitas,NA,40100,3540.87005,160
Adalimumab,Barren,KY,18040,3497.2695,1215
Adalimumab,Barrigada,NA,65050,3681.333,19
Adalimumab,Barron,WI,52020,3535.85655,774
Adalimumab,Barrow,GA,11050,3497.2695,1873
Adalimumab,Barrow-North Slope,AK,02040,3497.4004,374
Adalimumab,Barry,MI,23070,3405.9356,1307
Adalimumab,Barry,MO,26040,3497.4004,1131
Adalimumab,Bartholomew,IN,15020,3497.2695,1176
Adalimumab,Barton,KS,17040,3497.4004,481
Adalimumab,Barton,MO,26050,3570.5956,958
Adalimumab,Bartow,GA,11060,3497.2695,1618
Adalimumab,Bastrop,TX,45100,3497.2695,1343
Adalimumab,Bates,MO,26060,3570.5956,1022
Adalimumab,Bath,KY,18050,3497.2695,1177
Adalimumab,Bath,VA,49080,3579.63465,1134
Adalimumab,Baxter,AR,04020,3497.4004,1042
Adalimumab,Bay,FL,10020,3482.4342,1216
Adalimumab,Bay,MI,23080,3405.9274,1508
Adalimumab,Bayamon,PR,40110,3520.6773,950
Adalimumab,Bayamon,NA,40110,3540.87005,160
Adalimumab,Bayfield,WI,52030,3497.4004,826
Adalimumab,Baylor,TX,45110,3497.2695,772
Adalimumab,Beadle,SD,43020,3488.726,637
Adalimumab,Bear Lake,ID,13030,3482.4342,466
Adalimumab,Beaufort,NC,34060,3482.4342,994
Adalimumab,Beaufort,SC,42060,3497.2695,1416
Adalimumab,Beauregard,LA,19050,3497.26875,1110
Adalimumab,Beaver,OK,37030,3522.1379,591
Adalimumab,Beaver,PA,39080,3497.2695,1942
Adalimumab,Beaver,UT,46000,3497.2695,504
Adalimumab,Beaverhead,MT,27000,3476.9952,737
Adalimumab,Becker,MN,24020,3487.4546,1128
Adalimumab,Beckham,OK,37040,3522.1379,618
Adalimumab,Bedford,PA,39100,3497.2695,1629
Adalimumab,Bedford,TN,44010,3497.2695,1226
Adalimumab,Bedford,VA,49088,3488.726,427
Adalimumab,Bedford,VA,49090,3597.1501,1244
Adalimumab,Bee,TX,45113,3497.2695,1176
Adalimumab,Belknap,NH,30000,3497.4004,1018
Adalimumab,Bell,KY,18060,3497.2695,1151
Adalimumab,Bell,TX,45120,3497.2695,1140
Adalimumab,Belmont,OH,36060,3532.2761,1317
Adalimumab,Beltrami,MN,24030,3486.54705,1002
Adalimumab,Ben Hill,GA,11070,3497.2695,1271
Adalimumab,Benewah,ID,13040,3482.4342,438
Adalimumab,Bennett,SD,43030,3411.2292,547
Adalimumab,Bennington,VT,47010,3497.4004,750
Adalimumab,Benson,ND,35020,3497.2695,680
Adalimumab,Bent,CO,06050,3662.0806,706
Adalimumab,Benton,AR,04030,3497.4004,1404
Adalimumab,Benton,IN,15030,3497.2695,1362
Adalimumab,Benton,IA,16050,3497.3342000000002,930
Adalimumab,Benton,MN,24040,3482.44085,1066
Adalimumab,Benton,MS,25040,3520.9581,854
Adalimumab,Benton,MO,26070,3571.3211,964
Adalimumab,Benton,OR,38010,3497.2695,942
Adalimumab,Benton,TN,44020,3497.268,1228
Adalimumab,Benton,WA,50020,3497.2695,969
Adalimumab,Benzie,MI,23090,3485.6395,1158
Adalimumab,Bergen,NJ,31100,3497.2695,1254
Adalimumab,Berkeley,SC,42070,3497.2695,1474
Adalimumab,Berkeley,WV,51010,3497.3342000000002,1208
Adalimumab,Berks,PA,39110,3497.2695,1940
Adalimumab,Berkshire,MA,22010,3476.9937,631
Adalimumab,Bernalillo,NM,32000,3488.7245,1117
Adalimumab,Berrien,GA,11080,3497.2695,1154
Adalimumab,Berrien,MI,23100,3421.9999,1216
Adalimumab,Bertie,NC,34070,3497.268,1071
Adalimumab,Bethel,AK,02050,3497.4004,374
Adalimumab,Bexar,TX,45130,3497.2695,1956
Adalimumab,Bibb,AL,01030,3497.268,1363
Adalimumab,Bibb,GA,11090,3497.2695,1559
Adalimumab,Bienville,LA,19060,3497.268,1110
Adalimumab,Big Horn,MT,27010,3476.9952,737
Adalimumab,Big Horn,WY,53010,3497.2695,488
Adalimumab,Big Stone,MN,24050,3436.69265,846
Adalimumab,Billings,ND,35030,3410.4379,585
Adalimumab,Bingham,ID,13050,3497.4004,685
Adalimumab,Black Hawk,IA,16060,3512.0317,981
Adalimumab,Blackford,IN,15040,3497.4004,1202
Adalimumab,Bladen,NC,34080,3489.6382,1295
Adalimumab,Blaine,ID,13060,3497.2695,616
Adalimumab,Blaine,MT,27020,3423.1354,431
Adalimumab,Blaine,NE,28040,3385.0333499999997,566
Adalimumab,Blaine,OK,37050,3497.2695,853
Adalimumab,Blair,PA,39120,3497.2695,1831
Adalimumab,Blanco,TX,45140,3497.2695,1250
Adalimumab,Bland,VA,49100,3597.1501,1199
Adalimumab,Bleckley,GA,11100,3497.2695,1334
Adalimumab,Bledsoe,TN,44030,3497.2695,1281
Adalimumab,Blount,AL,01040,3497.2695,1434
Adalimumab,Blount,TN,44040,3497.2695,1229
Adalimumab,Blue Earth,MN,24060,3489.705,974
Adalimumab,Boise,ID,13070,3485.6395,867
Adalimumab,Bolivar,MS,25050,3497.2695,1047
Adalimumab,Bollinger,MO,26080,3573.1792,862
Adalimumab,Bon Homme,SD,43040,3488.726,795
Adalimumab,Bond,IL,14020,3482.4342,1152
Adalimumab,Bonner,ID,13080,3497.2695,718
Adalimumab,Bonneville,ID,13090,3497.2695,712
Adalimumab,Boone,AR,04040,3516.70555,1120
Adalimumab,Boone,IL,14030,3469.3903,1318
Adalimumab,Boone,IN,15050,3497.2695,1404
Adalimumab,Boone,IA,16070,3497.4004,956
Adalimumab,Boone,KY,18070,3497.2695,1428
Adalimumab,Boone,MO,26090,3560.0146,1135
Adalimumab,Boone,NE,28050,3497.2695,902
Adalimumab,Boone,WV,51020,3497.2695,1175
Adalimumab,Borden,TX,45150,3497.268,810
Adalimumab,Bosque,TX,45160,3497.2695,1018
Adalimumab,Bossier,LA,19070,3497.2695,1142
Adalimumab,Botetourt,VA,49110,3589.8205,1350
Adalimumab,Bottineau,ND,35040,3411.2292,469
Adalimumab,Boulder,CO,06060,3497.2695,1657
Adalimumab,Boundary,ID,13100,3497.2695,673
Adalimumab,Bourbon,KS,17050,3571.3054,811
Adalimumab,Bourbon,KY,18080,3497.2695,1255
Adalimumab,Bowie,TX,45170,3497.2695,1048
Adalimumab,Bowman,ND,35050,3417.205,639
Adalimumab,Box Butte,NE,28060,3482.4342,450
Adalimumab,Box Elder,UT,46010,3497.2695,852
Adalimumab,Boyd,KY,18090,3497.2695,1203
Adalimumab,Boyd,NE,28070,3497.2695,682
Adalimumab,Boyle,KY,18100,3497.2695,1190
Adalimumab,Bracken,KY,18110,3497.2695,1255
Adalimumab,Bradford,FL,10030,3497.2695,1060
